"filename", "language", "XML", "C#", "Markdown", "JavaScript", "ASP.NET Razor", "MS SQL", "JSON", "PostCSS", "comment", "blank", "total"
"d:\.net\start\Views\Admin\Approvals.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 303, 0, 0, 0, 1, 33, 337
"d:\.net\start\Views\Admin\Branches.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 310, 0, 0, 0, 2, 43, 355
"d:\.net\start\Views\Admin\Categories.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 53, 0, 0, 0, 0, 6, 59
"d:\.net\start\Views\Admin\Customers.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 108, 0, 0, 0, 0, 10, 118
"d:\.net\start\Views\Admin\Dashboard.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 276, 0, 0, 0, 0, 18, 294
"d:\.net\start\Views\Admin\Discounts.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 265, 0, 0, 0, 1, 19, 285
"d:\.net\start\Views\Admin\Employees.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 118, 0, 0, 0, 0, 8, 126
"d:\.net\start\Views\Admin\News.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 262, 0, 0, 0, 1, 39, 302
"d:\.net\start\Views\Admin\Orders.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 212, 0, 0, 0, 0, 13, 225
"d:\.net\start\Views\Admin\Products.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 372, 0, 0, 0, 1, 49, 422
"d:\.net\start\Views\Admin\Profile.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 222, 0, 0, 0, 6, 32, 260
"d:\.net\start\Views\Admin\Reports.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 343, 0, 0, 0, 0, 18, 361
"d:\.net\start\Views\Admin\ViewApproval.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 283, 0, 0, 0, 0, 38, 321
"d:\.net\start\Views\Admin\ViewCustomer.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 149, 0, 0, 0, 1, 11, 161
"d:\.net\start\Views\Admin\ViewEmployee.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 94, 0, 0, 0, 0, 8, 102
"d:\.net\start\Views\Admin\ViewOrder.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 166, 0, 0, 0, 0, 11, 177
